Group_ID,Group_Name,Instability,Responsibility,Accumulative_Instability,Accumulative_Responsibility,Layer,Predicted_Layer
0.0,Group 0,2,1,16,3,Patterns,Patterns
1.0,Group 1,2,0,10,0,Patterns,Patterns
2.0,Group 2,1,33,2,117,Components,Components
3.0,Group 3,6,0,20,0,Patterns,Patterns
4.1,Group 4.1,0,2,0,9,Components,Patterns
4.0,Group 4,1,39,2,120,Components,Components
5.0,Group 5,1,38,2,101,Components,Components
5.1,Group 5.1,1,0,2,0,Patterns,Patterns
6.0,Group 6,3,3,10,9,Patterns,Patterns
8.0,Group 8,7,23,86,50,Components,Patterns
10.0,Group 10,1,42,5,262,Foundation,Components
11.0,Group 11,7,0,46,0,Patterns,Patterns
12.0,Group 12,4,0,22,0,Templates,Patterns
13.0,Group 13,11,2,55,3,Patterns,Patterns
17.0,Group 17,0,5,0,33,,Patterns
19.1,Group 19.1,1,5,2,20,Components,Patterns
21.0,Group 21,5,5,30,21,,Patterns
21.1,Group 21.1,1,2,2,13,Patterns,Patterns
22.0,Group 22,5,0,21,0,,Patterns
23.1,Group 23.1,0,1,0,3,,Patterns
24.0,Group 24,3,0,12,0,Templates,Patterns
27.0,Group 27,6,1,31,24,,Patterns
27.1,Group 27.1,1,0,4,0,,Patterns
28.0,Group 28,2,0,18,0,,Patterns
29.0,Group 29,4,1,21,24,,Components
30.0,Group 30,3,4,14,41,,Components
30.1,Group 30.1,0,2,0,13,,Patterns
31.0,Group 31,4,2,38,2,,Patterns
19.0,Group 19,9,0,36,0,,Patterns
32.0,Group 32,3,0,18,0,,Patterns
33.0,Group 33,2,6,10,12,,Patterns
35.0,Group 35,5,0,21,0,,Patterns
37.0,Group 37,7,0,27,0,,Patterns
39.0,Group 39,3,12,27,30,,Components
40.0,Group 40,3,0,12,0,,Patterns
41.0,Group 41,0,0,0,0,,Patterns
38.0,Group 38,10,1,76,1,,Patterns
43.0,Group 43,2,4,4,10,,Patterns
43.1,Group 43.1,2,0,7,0,,Patterns
44.0,Group 44,3,3,7,4,,Patterns
45.0,Group 45,2,0,4,0,,Patterns
46.0,Group 46,4,0,30,0,,Patterns
18.0,Group 18,5,9,18,23,,Components
48.0,Group 48,8,10,41,18,,Patterns
16.0,Group 16,2,10,6,62,,Components
47.0,Group 47,1,1,3,11,,Patterns
48.1,Group 48.1,5,0,28,0,,Patterns
50.0,Group 50,4,0,16,0,,Patterns
51.0,Group 51,8,7,34,23,,Patterns
54.0,Group 54,4,2,30,2,,Patterns
54.1,Group 54.1,6,0,24,0,,Patterns
55.0,Group 55,2,0,17,0,,Patterns
58.0,Group 58,14,2,237,4,,Templates
59.0,Group 59,2,0,12,0,,Patterns
60.0,Group 60,4,3,22,47,,Components
61.0,Group 61,7,0,35,0,,Patterns
62.0,Group 62,3,0,15,0,,Patterns
66.0,Group 66,9,1,159,7,Templates,Templates
65.0,Group 65,13,6,123,14,Templates,Templates
67.0,Group 67,15,2,156,9,,Templates
68.0,Group 68,2,0,4,0,,Patterns
70.0,Group 70,3,0,15,0,,Patterns
71.0,Group 71,2,0,6,0,,Patterns
73.0,Group 73,2,0,10,0,,Patterns
74.0,Group 74,5,0,16,0,,Patterns
75.0,Group 75,3,0,15,0,,Patterns
76.0,Group 76,3,0,26,0,,Patterns
34.0,Group 34,6,0,46,0,,Patterns
72.0,Group 72,2,0,20,0,,Patterns
77.0,Group 77,3,3,27,7,,Patterns
78.0,Group 78,7,0,67,0,,Patterns
56.0,Group 56,4,0,19,0,,Patterns
25.0,Group 25,2,0,6,0,,Patterns
63.0,Group 63,0,0,0,0,,Patterns
